,player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition
877,0Oq6006M6D,Ugo Ihemelu,1983-04-03,USA,,,,,{},6.0,0.0,179.0,mls
878,0Oq60APM6D,Jason Hernandez,1983-08-26,USA,DF,CB,,,"['2013', '2014', '2015', '2016', '2017', '2018']",5.0,11.0,172.0,mls
879,0Oq60VgM6D,Jeff Larentowicz,1983-08-05,USA,MF,DM,,CM,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']",6.0,1.0,176.0,mls
880,0Oq62Y3zq6,Isaac Walker,2000-07-03,USA,,,,,{},,,,mls
881,0Oq630dXQ6,Kevin Cabral,1999-07-10,France,MF,W,FW,ST,"['2021', '2022', '2023', '2024']",,,,mls
882,0Oq632k7Q6,Danny Leyva,2003-05-05,USA,MF,CM,,DM,"['2019', '2020', '2021', '2022', '2023', '2024']",5.0,10.0,139.0,mls
883,0Oq633dAQ6,Griffin Yow,2002-09-25,USA,MF,W,,,"['2019', '2020', '2021', '2022']",5.0,8.0,141.0,mls
884,0Oq633E7Q6,Abdi Salim,2001-04-01,USA,DF,CB,,,2023,,,,mls
885,0Oq638a6Q6,Dominick Hernandez,1998-09-21,USA,,,,,{},,,,mls
886,0Oq63DL6Q6,Cody Baker,2004-01-07,USA,DF,FB,,,"['2023', '2024']",5.0,10.0,154.0,mls
887,0Oq63JA7Q6,Wyatt Omsberg,1995-09-21,USA,DF,CB,,,"['2018', '2020', '2021', '2022', '2023']",6.0,4.0,181.0,mls
888,0Oq63lbzQ6,Themi Antonoglou,2001-06-02,Canada,DF,FB,,,"['2022', '2023']",5.0,6.0,126.0,mls
889,0Oq63n7Q6D,Eric Hassli,1981-05-03,France,FW,ST,,,2013,6.0,4.0,201.0,mls
890,0Oq63oxzQ6,Aiden McFadden,1998-09-28,USA,DF,FB,,,2022,5.0,9.0,165.0,mls
891,0Oq63P32Q6,Nkosi Burgess,1997-03-23,USA,DF,CB,,,"['2021', '2022', '2023', '2024']",6.0,4.0,185.0,mls
892,0Oq63pJdQ6,Steeven Saba,1993-02-24,Haiti,,,,,{},5.0,7.0,,mls
893,0Oq63v4rQ6,Casey Walls,2003-01-10,USA,,,,,{},6.0,2.0,172.0,mls
894,0Oq63Ym2Q6,Ryan Spaulding,1998-09-10,USA,DF,FB,,,"['2022', '2023', '2024']",5.0,8.0,165.0,mls
895,0Oq6712Q6D,Ashley Westwood,1990-04-01,England,MF,DM,,CM,"['2023', '2024']",5.0,9.0,176.0,mls
896,0Oq67EgQ6D,Matt Besler,1987-02-11,USA,DF,CB,,,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021']",6.0,0.0,172.0,mls
897,0Oq67k7Q6D,Tristan Bowen,1991-01-31,USA,FW,ST,MF,W,"['2013', '2014']",5.0,11.0,172.0,mls
898,0Oq67xxQ6D,Brandon Barklage,1986-11-02,USA,DF,FB,,,"['2013', '2014']",5.0,11.0,165.0,mls
899,0Oq6aoX56D,Cedrick,1992-03-08,DR Congo,MF,W,,,"['2015', '2016']",5.0,6.0,137.0,mls
900,0Oq6bAPq6D,Douglas Costa,1990-09-14,Brazil,MF,W,,,"['2022', '2023']",5.0,8.0,154.0,mls
901,0Oq6BKAq6D,Caleb Patterson-Sewell,1987-05-20,USA,,,,,{},6.0,3.0,183.0,mls
902,0Oq6ebd56D,Marco Pappa,1987-11-15,Guatemala,MF,W,,,"['2014', '2015', '2016']",5.0,10.0,157.0,mls
903,0Oq6ENn256,Danny Musovski,1995-11-30,USA,FW,ST,,,"['2020', '2021', '2022', '2023', '2024']",6.0,0.0,161.0,mls
904,0Oq6ERe256,Patrick Metcalfe,1998-11-11,Canada,MF,CM,,,"['2020', '2021']",5.0,8.0,165.0,mls
905,0Oq6Ervr56,Shaft Brewer,1999-10-28,USA,DF,FB,,,"['2018', '2019']",5.0,9.0,154.0,mls
