,team_id,team_name,team_short_name,team_abbreviation,competition
0,315VnJ759x,Bay FC,Bay FC,BAY,nwsl
1,4JMAk47qKg,Houston Dash,Houston,HOU,nwsl
2,4wM4Ezg5jB,Boston Breakers,Boston,BOS,nwsl
3,4wM4rZdqjB,Kansas City Current,Kansas City,KC,nwsl
4,7vQ7BBzqD1,Seattle Reign FC,Seattle,SEA,nwsl
5,7VqG1lYMvW,San Diego Wave FC,San Diego,SD,nwsl
6,aDQ0lzvQEv,Washington Spirit,Washington,WAS,nwsl
7,eV5D2w9QKn,Utah Royals FC,Utah Royals,UTA,nwsl
8,eV5DR6YQKn,Racing Louisville FC,Louisville,LOU,nwsl
9,KPqjw8PQ6v,Chicago Red Stars,Chicago,CHI,nwsl
10,kRQa8JOqKZ,Angel City FC,Angel City,LA,nwsl
11,kRQaWa15KZ,FC Kansas City,Kansas City,KC,nwsl
12,Pk5LeeNqOW,Portland Thorns FC,Portland,POR,nwsl
13,raMyrr25d2,NJ/NY Gotham FC,Gotham FC,NJY,nwsl
14,XVqKeVKM01,Orlando Pride,Orlando,ORL,nwsl
15,xW5pwDBMg1,Western New York Flash,Western New York,WNY,nwsl
16,zeQZeazqKw,North Carolina Courage,North Carolina,NC,nwsl
